Location,Time,Lighting,Traffic_Density,Crime_Rate,Police_Presence,Public_Transport_Availability,CCTV_Presence,Population_Density,Safe_Road
Residential Area,18:00,Well-lit,0.5,0.27,1,1,0,0.44,1
Industrial Zone,00:28,Well-lit,0.23,0.79,0,0,0,0.18,0
Residential Area,18:35,Moderately-lit,0.33,0.17,1,0,0,0.56,0
Residential Area,04:27,Moderately-lit,0.2,0.28,1,1,0,0.5,1
Commercial District,23:22,No lighting,0.57,0.54,1,1,0,0.75,0
Commercial District,05:29,No lighting,0.38,0.39,0,1,0,0.84,0
Suburban Street,02:53,No lighting,0.02,0.24,1,1,0,0.57,0
Commercial District,20:12,No lighting,0.16,0.4,1,1,1,0.89,1
Residential Area,20:02,Moderately-lit,0.61,0.3,1,1,1,0.47,1
Park,01:35,Moderately-lit,0.08,0.47,1,0,0,0.18,0
Alleyway,05:23,Moderately-lit,0.09,0.65,0,0,0,0.29,0
Industrial Zone,18:17,Moderately-lit,0.12,0.72,0,0,1,0.29,0
Residential Area,21:00,Well-lit,0.29,0.21,1,0,0,0.54,1
Residential Area,18:49,Well-lit,0.21,0.16,0,1,0,0.43,1
Alleyway,20:53,Well-lit,0.21,0.79,0,1,0,0.1,0
Commercial District,20:33,Well-lit,0.33,0.46,0,0,1,0.78,0
Public Transport Hub,23:06,Moderately-lit,0.38,0.57,1,1,1,0.8,1
Suburban Street,01:27,Moderately-lit,0.09,0.42,1,0,1,0.46,1
Market Area,01:34,Well-lit,0.08,0.47,0,1,0,0.76,1
University Campus,19:48,No lighting,0.2,0.26,1,0,0,0.56,0
Industrial Zone,02:05,No lighting,0.31,0.77,1,0,0,0.19,0
Suburban Street,18:10,Well-lit,0.07,0.19,1,1,0,0.52,1
Industrial Zone,18:14,Well-lit,0.02,0.75,0,0,0,0.14,0
Residential Area,23:14,No lighting,0.17,0.26,1,0,0,0.56,0
Park,05:03,Poorly-lit,0.3,0.62,1,0,1,0.27,0
Commercial District,04:13,Moderately-lit,0.26,0.51,0,1,1,0.71,1
Industrial Zone,23:15,No lighting,0.18,0.62,1,1,0,0.15,0
Market Area,19:37,Poorly-lit,0.16,0.4,0,1,1,0.72,0
Public Transport Hub,05:18,Well-lit,0.39,0.61,0,1,1,0.85,1
Commercial District,04:06,Moderately-lit,0.56,0.54,0,1,0,0.81,0
Public Transport Hub,22:09,No lighting,0.1,0.43,1,1,1,0.7,1
Market Area,19:46,No lighting,0.26,0.31,1,1,1,0.82,0
Alleyway,23:50,Poorly-lit,0.07,0.69,0,0,0,0.26,0
Park,20:23,Poorly-lit,0.15,0.73,0,1,0,0.1,0
Suburban Street,05:53,Moderately-lit,0.57,0.26,1,0,0,0.51,0
Industrial Zone,01:13,Well-lit,0.13,0.71,1,1,0,0.28,1
Public Transport Hub,18:19,No lighting,0.34,0.37,0,1,1,0.79,0
Park,03:16,No lighting,0.76,0.59,0,0,0,0.16,0
Main Road,20:47,Well-lit,0.67,0.25,1,1,1,0.2,1
Residential Area,20:01,Moderately-lit,0.46,0.28,1,1,0,0.42,1
Market Area,05:29,Poorly-lit,0.02,0.31,1,1,0,0.82,1
Market Area,02:56,Moderately-lit,0.56,0.4,1,0,0,0.76,0
Suburban Street,02:46,Poorly-lit,0.25,0.36,1,1,0,0.59,0
Park,23:18,Poorly-lit,0.41,0.73,1,0,0,0.22,0
Market Area,22:58,Poorly-lit,0.09,0.33,1,1,0,0.82,1
Industrial Zone,18:20,No lighting,0.13,0.55,0,0,1,0.24,0
Main Road,22:54,Well-lit,0.13,0.48,1,1,1,0.25,1
Commercial District,21:06,No lighting,0.42,0.39,1,1,1,0.87,1
Industrial Zone,23:04,Well-lit,0.13,0.56,1,0,0,0.1,1
Park,22:55,Poorly-lit,0.01,0.65,1,1,0,0.14,0
Industrial Zone,02:19,No lighting,0.02,0.84,0,1,1,0.24,0
Main Road,21:42,Poorly-lit,0.22,0.38,1,1,0,0.25,0
Main Road,23:58,Well-lit,0.22,0.5,1,1,1,0.1,1
Suburban Street,23:27,No lighting,0.26,0.19,1,0,0,0.55,0
Public Transport Hub,23:42,Well-lit,0.05,0.49,0,1,1,0.89,1
Public Transport Hub,04:12,Moderately-lit,0.15,0.56,1,1,1,0.82,1
Public Transport Hub,01:48,No lighting,0.04,0.57,0,0,1,0.81,0
Suburban Street,04:39,Poorly-lit,0.0,0.33,0,1,1,0.42,0
University Campus,01:06,Moderately-lit,0.61,0.33,0,1,0,0.46,0
Public Transport Hub,01:48,Moderately-lit,0.13,0.38,1,1,1,0.88,1
Public Transport Hub,01:49,Poorly-lit,0.19,0.43,0,0,1,0.9,0
University Campus,18:24,Moderately-lit,0.05,0.3,1,0,0,0.56,0
Commercial District,00:02,No lighting,0.23,0.43,1,1,1,0.74,1
Market Area,23:59,Well-lit,0.28,0.25,1,1,0,0.84,1
Commercial District,05:07,Moderately-lit,0.35,0.4,0,1,1,0.81,0
Market Area,03:13,No lighting,0.36,0.29,1,0,0,0.84,0
Residential Area,00:23,Poorly-lit,0.4,0.13,0,0,1,0.58,0
Market Area,05:41,No lighting,0.14,0.29,1,0,1,0.86,0
Industrial Zone,02:35,No lighting,0.5,0.59,1,0,0,0.11,0
Park,22:47,No lighting,0.2,0.47,0,1,0,0.23,0
University Campus,21:47,No lighting,0.21,0.22,0,0,1,0.6,0
Public Transport Hub,18:24,Moderately-lit,0.02,0.36,1,1,1,0.73,1
Market Area,00:41,Well-lit,0.33,0.34,1,0,0,0.86,1
Public Transport Hub,04:13,Well-lit,0.06,0.47,1,0,1,0.78,1
Suburban Street,02:55,No lighting,0.16,0.29,1,0,0,0.44,0
Public Transport Hub,19:56,Moderately-lit,0.0,0.41,1,0,1,0.8,1
University Campus,22:41,Well-lit,0.14,0.36,1,1,0,0.51,1
University Campus,03:45,Moderately-lit,0.41,0.24,1,1,0,0.55,1
Park,02:27,No lighting,0.77,0.5,1,0,0,0.15,0
Main Road,22:37,Moderately-lit,0.25,0.55,0,1,1,0.11,0
Market Area,03:23,Poorly-lit,0.01,0.43,1,0,0,0.8,0
Park,01:04,Poorly-lit,0.39,0.58,0,1,1,0.16,0
Alleyway,02:54,No lighting,0.24,0.73,1,0,0,0.25,1
Public Transport Hub,23:37,Well-lit,0.04,0.52,0,1,1,0.77,1
Residential Area,05:17,Moderately-lit,0.09,0.19,0,1,0,0.41,0
Public Transport Hub,02:10,Moderately-lit,0.61,0.56,1,0,0,0.75,0
Market Area,04:38,Well-lit,0.11,0.3,1,0,0,0.89,1
Public Transport Hub,05:18,Moderately-lit,0.16,0.5,0,1,0,0.73,0
University Campus,22:23,Poorly-lit,0.82,0.37,1,0,1,0.54,0
Alleyway,01:00,Well-lit,0.54,0.7,0,1,1,0.12,0
Commercial District,20:02,Poorly-lit,0.76,0.53,0,1,1,0.77,0
Suburban Street,21:13,Well-lit,0.35,0.44,0,1,0,0.56,1
Residential Area,22:45,Poorly-lit,0.23,0.14,1,0,1,0.41,0
Public Transport Hub,22:23,Poorly-lit,0.02,0.38,0,1,0,0.82,0
Suburban Street,00:44,Poorly-lit,0.1,0.36,0,0,1,0.51,0
Suburban Street,01:05,Poorly-lit,0.22,0.41,1,0,1,0.52,1
Residential Area,20:19,Well-lit,0.5,0.14,0,0,0,0.54,1
Commercial District,01:59,Poorly-lit,0.0,0.58,0,1,1,0.88,0
University Campus,04:49,Well-lit,0.29,0.31,1,1,1,0.51,1
Park,01:49,Poorly-lit,0.39,0.67,0,1,0,0.12,0
Public Transport Hub,23:51,Well-lit,0.11,0.55,0,1,1,0.78,1
Public Transport Hub,19:08,Well-lit,0.06,0.63,1,1,1,0.83,1
Public Transport Hub,19:42,Moderately-lit,0.34,0.41,1,0,1,0.72,1
Alleyway,02:16,Poorly-lit,0.1,0.69,0,1,1,0.1,0
Main Road,03:37,Well-lit,0.55,0.42,0,1,1,0.25,1
Alleyway,21:03,Well-lit,0.36,0.79,1,0,0,0.29,1
Commercial District,20:18,Well-lit,0.45,0.54,1,0,1,0.77,1
Suburban Street,18:28,Moderately-lit,0.59,0.22,1,0,0,0.47,0
Suburban Street,21:12,Well-lit,0.59,0.35,1,0,0,0.57,1
Industrial Zone,05:34,No lighting,0.02,0.6,0,0,0,0.21,0
Industrial Zone,20:16,No lighting,0.51,0.65,1,0,0,0.25,0
Residential Area,04:24,No lighting,0.12,0.3,1,1,0,0.59,0
Market Area,22:13,Well-lit,0.53,0.38,1,0,0,0.78,1
Industrial Zone,23:55,Moderately-lit,0.22,0.64,0,0,0,0.29,0
Public Transport Hub,22:34,Well-lit,0.22,0.42,0,1,1,0.85,1
Alleyway,02:46,No lighting,0.82,0.81,0,0,0,0.26,0
Suburban Street,19:36,Poorly-lit,0.26,0.24,1,0,0,0.42,0
Suburban Street,04:24,Well-lit,0.67,0.21,1,0,0,0.57,1
Commercial District,23:14,No lighting,0.1,0.59,1,1,0,0.8,0
Public Transport Hub,02:25,Moderately-lit,0.48,0.37,0,1,0,0.71,0
Commercial District,23:20,Poorly-lit,0.37,0.63,1,1,1,0.83,1
Market Area,22:37,No lighting,0.05,0.35,1,0,1,0.72,0
Industrial Zone,02:43,No lighting,0.1,0.67,0,1,1,0.21,0
University Campus,23:11,No lighting,0.17,0.25,1,0,0,0.57,0
Alleyway,19:31,Poorly-lit,0.1,0.9,0,0,0,0.29,0
Public Transport Hub,05:42,Well-lit,0.53,0.4,1,1,0,0.77,1
University Campus,05:15,Well-lit,0.22,0.44,1,0,0,0.48,1
Main Road,01:30,Well-lit,0.18,0.55,1,1,1,0.2,1
Suburban Street,01:10,No lighting,0.03,0.21,1,0,0,0.59,0
Park,19:11,Moderately-lit,0.18,0.73,0,1,0,0.1,0
Residential Area,03:35,Moderately-lit,0.53,0.09,1,1,0,0.58,0
Residential Area,21:56,Well-lit,0.02,0.33,1,1,0,0.57,1
Park,18:59,Well-lit,0.02,0.63,0,1,0,0.14,0
Park,21:15,Well-lit,0.29,0.47,0,0,0,0.27,0
Industrial Zone,18:19,Moderately-lit,0.19,0.77,0,0,0,0.24,0
Public Transport Hub,00:50,Moderately-lit,0.58,0.5,0,1,1,0.72,1
Market Area,20:20,No lighting,0.36,0.42,1,0,0,0.89,0
Alleyway,03:27,Poorly-lit,0.15,0.86,0,0,0,0.29,0
Market Area,02:24,Moderately-lit,0.21,0.27,1,0,1,0.8,1
Suburban Street,00:32,No lighting,0.19,0.44,0,0,1,0.46,0
Commercial District,04:29,Poorly-lit,0.08,0.5,1,1,1,0.76,1
Industrial Zone,05:37,Poorly-lit,0.17,0.83,0,0,1,0.11,0
Park,02:28,Moderately-lit,0.43,0.55,1,0,0,0.19,0
Park,03:13,Well-lit,0.14,0.54,0,0,1,0.29,1
Market Area,21:48,Poorly-lit,0.65,0.42,1,0,1,0.87,0
Residential Area,22:30,Poorly-lit,0.57,0.09,1,1,1,0.57,1
University Campus,19:36,Moderately-lit,0.36,0.2,1,1,0,0.43,1
Suburban Street,22:58,Moderately-lit,0.12,0.35,0,0,1,0.51,0
Alleyway,00:06,Moderately-lit,0.49,0.75,1,0,1,0.14,0
Industrial Zone,00:21,Well-lit,0.18,0.59,1,1,1,0.22,1
Commercial District,21:37,Well-lit,0.39,0.59,0,1,0,0.72,1
Residential Area,02:06,Moderately-lit,0.58,0.24,0,1,0,0.45,0
Suburban Street,01:53,No lighting,0.2,0.24,0,0,0,0.55,0
Public Transport Hub,02:51,Well-lit,0.45,0.6,0,1,1,0.87,1
Public Transport Hub,23:48,Moderately-lit,0.04,0.55,1,1,1,0.72,1
Commercial District,04:58,No lighting,0.26,0.57,1,1,1,0.82,1
Park,00:05,No lighting,0.09,0.46,1,0,0,0.3,0
Public Transport Hub,18:34,Well-lit,0.49,0.54,1,1,1,0.89,1
University Campus,03:30,Well-lit,0.01,0.31,0,0,0,0.45,1
Residential Area,20:05,Well-lit,0.05,0.05,1,1,0,0.5,1
Commercial District,02:40,Well-lit,0.01,0.63,0,1,1,0.85,1
Main Road,23:58,Well-lit,0.12,0.45,0,1,0,0.21,1
Suburban Street,18:56,Well-lit,0.44,0.21,1,0,0,0.46,1
Market Area,20:23,No lighting,0.24,0.28,1,0,0,0.75,0
Alleyway,21:06,No lighting,0.14,0.87,0,0,0,0.13,0
University Campus,18:53,Poorly-lit,0.04,0.45,1,1,0,0.49,0
Main Road,21:37,Moderately-lit,0.22,0.48,1,0,0,0.24,0
Public Transport Hub,20:08,Moderately-lit,0.17,0.55,1,1,0,0.74,1
Market Area,21:01,No lighting,0.03,0.51,1,1,0,0.72,1
Main Road,19:26,Poorly-lit,0.11,0.4,0,1,0,0.17,0
University Campus,02:23,Moderately-lit,0.29,0.42,0,0,0,0.42,0
Main Road,01:35,Well-lit,0.12,0.28,0,1,1,0.13,1
University Campus,20:52,Poorly-lit,0.01,0.38,1,1,0,0.56,0
Suburban Street,04:34,Well-lit,0.04,0.21,1,0,1,0.56,1
Commercial District,05:20,Well-lit,0.6,0.42,1,1,0,0.81,1
Market Area,05:52,Moderately-lit,0.41,0.31,1,0,1,0.75,1
Park,00:22,Well-lit,0.29,0.46,0,1,0,0.14,1
Residential Area,03:24,No lighting,0.13,0.15,1,0,0,0.54,0
University Campus,20:27,Well-lit,0.79,0.39,0,0,1,0.48,1
Alleyway,19:42,Moderately-lit,0.08,0.66,0,0,0,0.17,0
Residential Area,04:45,No lighting,0.29,0.2,1,1,1,0.5,1
Public Transport Hub,23:12,Well-lit,0.21,0.48,1,1,1,0.77,1
Main Road,02:11,No lighting,0.09,0.46,1,0,0,0.29,0
University Campus,02:45,Poorly-lit,0.06,0.25,0,0,1,0.59,0
Suburban Street,19:06,Moderately-lit,0.36,0.24,1,1,1,0.58,1
Market Area,05:32,Poorly-lit,0.09,0.26,1,0,0,0.78,0
Industrial Zone,19:13,Moderately-lit,0.29,0.73,0,0,0,0.13,0
Commercial District,05:16,Well-lit,0.38,0.43,0,1,0,0.81,1
Market Area,23:40,Well-lit,0.24,0.39,1,0,0,0.89,1
University Campus,20:26,Poorly-lit,0.11,0.42,1,0,1,0.55,0
Alleyway,21:49,No lighting,0.02,0.94,0,0,0,0.2,0
Residential Area,01:13,No lighting,0.03,0.22,1,1,1,0.55,1
Market Area,00:56,No lighting,0.17,0.41,0,0,0,0.82,0
Commercial District,02:59,No lighting,0.39,0.42,0,1,0,0.89,0
Main Road,03:23,No lighting,0.52,0.38,1,1,1,0.12,0
Public Transport Hub,04:59,No lighting,0.11,0.45,0,1,0,0.75,0
University Campus,21:09,No lighting,0.44,0.34,1,1,0,0.47,0
University Campus,00:01,No lighting,0.48,0.38,0,1,0,0.46,0
Residential Area,05:08,Moderately-lit,0.08,0.13,0,0,0,0.46,0
University Campus,23:14,Poorly-lit,0.17,0.42,0,1,0,0.43,0
Residential Area,22:39,No lighting,0.04,0.27,1,0,0,0.47,0
Residential Area,05:03,Poorly-lit,0.02,0.34,1,0,0,0.57,1
Main Road,03:35,No lighting,0.43,0.52,1,1,1,0.15,0
Commercial District,23:04,Poorly-lit,0.58,0.57,0,1,1,0.89,0
Park,01:58,No lighting,0.0,0.59,0,0,0,0.17,0
Suburban Street,02:42,Well-lit,0.09,0.22,1,0,0,0.51,1
Suburban Street,21:52,Moderately-lit,0.27,0.43,1,0,0,0.41,0
University Campus,18:05,Poorly-lit,0.06,0.39,1,0,0,0.54,0
Suburban Street,21:45,No lighting,0.19,0.44,1,0,0,0.57,0
Commercial District,21:10,Well-lit,0.28,0.58,1,1,0,0.83,1
Park,00:03,No lighting,0.75,0.61,1,0,0,0.24,0
University Campus,05:04,No lighting,0.24,0.25,1,0,1,0.48,0
Suburban Street,03:11,No lighting,0.21,0.28,1,0,0,0.54,0
Main Road,19:08,Poorly-lit,0.27,0.48,1,1,0,0.23,0
Park,05:58,Well-lit,0.04,0.61,1,0,0,0.3,0
Park,21:10,Well-lit,0.03,0.73,0,0,0,0.29,0
Alleyway,04:11,Well-lit,0.11,0.68,0,0,0,0.19,0
Suburban Street,22:03,Moderately-lit,0.16,0.42,0,0,0,0.52,0
Industrial Zone,23:08,Well-lit,0.87,0.79,1,0,0,0.26,1
Industrial Zone,23:43,Well-lit,0.27,0.64,0,0,1,0.22,1
Public Transport Hub,18:32,Well-lit,0.1,0.59,1,0,1,0.73,1
Residential Area,05:37,No lighting,0.04,0.08,1,0,1,0.49,1
Commercial District,02:53,Moderately-lit,0.26,0.35,1,1,1,0.77,1
University Campus,04:39,Well-lit,0.33,0.24,1,0,0,0.59,1
Commercial District,19:55,No lighting,0.12,0.41,1,0,1,0.82,0
Market Area,19:41,No lighting,0.16,0.26,1,0,0,0.82,0
University Campus,21:35,Poorly-lit,0.42,0.38,0,0,0,0.5,0
Residential Area,00:43,Well-lit,0.38,0.16,1,0,1,0.45,1
Industrial Zone,21:23,No lighting,0.12,0.66,0,0,0,0.13,0
Industrial Zone,18:49,Well-lit,0.34,0.61,0,0,0,0.15,0
Public Transport Hub,02:45,No lighting,0.18,0.52,0,0,0,0.8,0
Main Road,21:48,Poorly-lit,0.18,0.3,0,1,1,0.19,0
University Campus,21:34,Poorly-lit,0.33,0.29,1,0,0,0.44,0
Park,04:00,Well-lit,0.26,0.46,1,1,0,0.11,1
Alleyway,01:59,Well-lit,0.14,0.91,0,0,0,0.15,0
Main Road,22:40,No lighting,0.22,0.36,1,1,1,0.13,0
Industrial Zone,04:57,No lighting,0.21,0.79,0,0,0,0.27,0
Suburban Street,05:32,No lighting,0.2,0.18,0,0,0,0.58,0
University Campus,05:26,Moderately-lit,0.16,0.26,1,0,0,0.48,0
Public Transport Hub,19:42,Well-lit,0.31,0.42,1,1,1,0.77,1
Park,18:35,Moderately-lit,0.15,0.63,0,0,0,0.28,0
Park,22:54,Moderately-lit,0.44,0.54,1,0,0,0.23,0
Commercial District,19:21,Well-lit,0.23,0.36,0,1,1,0.84,1
Industrial Zone,19:55,Poorly-lit,0.31,0.65,1,0,1,0.11,0
Residential Area,21:16,No lighting,0.09,0.19,0,0,0,0.45,0
Suburban Street,04:28,Well-lit,0.24,0.36,0,1,1,0.46,1
Public Transport Hub,03:26,Poorly-lit,0.05,0.52,0,1,1,0.86,0
Park,20:32,Well-lit,0.38,0.56,1,0,0,0.11,1
Main Road,18:47,Moderately-lit,0.53,0.3,1,1,1,0.25,1
Market Area,05:32,Moderately-lit,0.17,0.35,0,0,1,0.73,1
Public Transport Hub,22:45,Poorly-lit,0.71,0.65,0,1,1,0.72,0
Residential Area,02:14,Poorly-lit,0.03,0.12,1,1,1,0.45,1
Suburban Street,23:58,No lighting,0.03,0.31,0,0,0,0.44,0
Park,00:13,Well-lit,0.21,0.74,0,1,0,0.17,0
Public Transport Hub,19:18,No lighting,0.13,0.39,1,1,0,0.8,0
Commercial District,23:47,Poorly-lit,0.03,0.61,0,1,0,0.89,0
Residential Area,23:45,Well-lit,0.46,0.1,1,0,0,0.44,0
Residential Area,21:02,Poorly-lit,0.01,0.15,1,0,0,0.48,0
Market Area,22:22,Poorly-lit,0.5,0.35,1,0,0,0.87,0
Alleyway,22:21,No lighting,0.59,0.84,0,0,0,0.12,1
Public Transport Hub,20:45,Moderately-lit,0.39,0.47,1,1,1,0.86,1
Residential Area,03:31,Poorly-lit,0.5,0.31,1,1,1,0.44,1
Park,22:50,No lighting,0.04,0.57,0,1,0,0.13,0
Main Road,03:59,No lighting,0.27,0.32,1,1,1,0.21,1
Main Road,04:10,Poorly-lit,0.49,0.42,0,1,1,0.21,0
Market Area,03:43,Moderately-lit,0.22,0.45,1,0,0,0.86,0
Main Road,03:03,Poorly-lit,0.03,0.54,1,1,1,0.27,0
Alleyway,02:15,Moderately-lit,0.35,0.95,0,0,0,0.24,0
Alleyway,00:38,No lighting,0.37,0.95,0,1,0,0.14,0
Public Transport Hub,00:07,No lighting,0.29,0.5,1,1,1,0.86,1
Main Road,19:34,Poorly-lit,0.31,0.47,1,0,1,0.3,0
University Campus,20:31,Well-lit,0.41,0.42,0,0,0,0.48,0
Main Road,20:08,No lighting,0.66,0.48,0,1,0,0.23,0
Market Area,05:19,Moderately-lit,0.27,0.45,1,1,0,0.71,1
University Campus,22:57,Poorly-lit,0.12,0.39,0,0,0,0.56,0
Alleyway,22:13,Poorly-lit,0.14,0.83,0,0,1,0.15,0
Industrial Zone,05:42,Moderately-lit,0.26,0.74,0,1,0,0.18,0
Suburban Street,04:12,Poorly-lit,0.77,0.42,0,0,0,0.42,0
Public Transport Hub,04:24,Moderately-lit,0.09,0.53,0,1,1,0.79,1
Alleyway,21:46,Well-lit,0.03,0.8,0,1,1,0.21,1
Market Area,04:24,Moderately-lit,0.18,0.46,0,0,1,0.74,1
Residential Area,18:30,Moderately-lit,0.46,0.18,1,0,0,0.52,0
Commercial District,20:11,Poorly-lit,0.07,0.6,1,1,1,0.75,1
Commercial District,04:25,Moderately-lit,0.29,0.63,0,0,0,0.88,0
Alleyway,18:10,No lighting,0.34,0.87,0,1,0,0.3,0
Park,18:15,Well-lit,0.18,0.6,0,0,0,0.17,0
Commercial District,22:14,Moderately-lit,0.12,0.48,1,1,1,0.7,1
Market Area,22:17,Moderately-lit,0.59,0.46,0,0,1,0.72,0
Park,02:37,Well-lit,0.31,0.55,1,0,1,0.28,1
Suburban Street,23:38,Moderately-lit,0.01,0.38,0,0,0,0.54,0
Alleyway,03:31,Poorly-lit,0.12,0.75,0,1,0,0.24,0
Alleyway,00:25,Poorly-lit,0.31,0.94,0,1,0,0.12,0
Park,00:55,Well-lit,0.51,0.53,1,0,0,0.18,1
University Campus,18:48,Poorly-lit,0.14,0.43,1,0,0,0.43,0
Main Road,21:21,Moderately-lit,0.02,0.25,0,1,0,0.21,0
Suburban Street,04:41,No lighting,0.03,0.41,0,0,0,0.53,0
Main Road,03:37,Moderately-lit,0.15,0.49,1,1,0,0.24,0
Suburban Street,00:05,Well-lit,0.23,0.32,1,0,1,0.59,1
Park,20:17,Well-lit,0.34,0.58,0,0,1,0.18,1
University Campus,02:27,No lighting,0.61,0.32,0,1,1,0.56,0
Residential Area,02:21,No lighting,0.17,0.24,0,0,0,0.57,0
Alleyway,05:54,No lighting,0.22,0.85,0,0,0,0.28,0
Residential Area,23:42,Moderately-lit,0.06,0.21,1,1,0,0.5,1
Public Transport Hub,22:31,Poorly-lit,0.29,0.59,0,1,1,0.71,0
Main Road,03:52,Moderately-lit,0.1,0.26,1,1,1,0.14,1
Public Transport Hub,20:58,Poorly-lit,0.1,0.55,0,1,0,0.81,0
Suburban Street,22:17,Moderately-lit,0.34,0.3,0,0,0,0.44,0
Main Road,01:10,Well-lit,0.01,0.44,0,1,0,0.11,1
Residential Area,04:20,No lighting,0.17,0.3,1,1,0,0.52,0
Industrial Zone,20:35,Well-lit,0.16,0.72,0,0,0,0.25,0
Residential Area,23:13,No lighting,0.24,0.33,1,0,0,0.54,0
Commercial District,03:01,No lighting,0.15,0.62,0,1,0,0.89,0
Public Transport Hub,00:06,Moderately-lit,0.12,0.42,1,0,0,0.88,0
Alleyway,18:10,Moderately-lit,0.09,0.72,0,1,0,0.17,0
Park,23:20,Well-lit,0.41,0.49,1,1,0,0.21,1
Alleyway,05:15,No lighting,0.11,0.93,0,1,0,0.14,0
Residential Area,21:22,Moderately-lit,0.13,0.23,0,0,0,0.5,0
Residential Area,00:57,No lighting,0.54,0.21,1,0,0,0.45,0
Residential Area,23:36,Poorly-lit,0.21,0.32,1,1,1,0.41,1
Main Road,00:26,No lighting,0.15,0.45,1,0,1,0.21,0
Industrial Zone,21:57,Moderately-lit,0.0,0.83,0,1,0,0.14,0
Industrial Zone,02:48,Poorly-lit,0.06,0.76,0,0,0,0.12,0
Main Road,18:40,No lighting,0.51,0.39,1,1,1,0.24,1
Industrial Zone,02:22,Well-lit,0.2,0.67,1,0,0,0.25,1
Alleyway,18:09,Well-lit,0.06,0.71,0,0,1,0.15,0
Market Area,03:47,Well-lit,0.79,0.44,0,0,0,0.72,0
University Campus,00:28,Well-lit,0.52,0.17,1,0,0,0.5,1
Market Area,20:57,No lighting,0.11,0.38,1,0,0,0.81,0
Suburban Street,01:01,Well-lit,0.24,0.38,0,0,1,0.45,1
Public Transport Hub,21:35,Well-lit,0.92,0.53,0,1,1,0.85,1
Market Area,00:42,Well-lit,0.34,0.27,0,0,0,0.8,1
Industrial Zone,22:05,Poorly-lit,0.14,0.63,0,1,1,0.27,0
Commercial District,23:52,Well-lit,0.27,0.64,0,1,1,0.79,1
Market Area,20:04,Moderately-lit,0.48,0.34,0,0,0,0.77,0
Suburban Street,00:33,Well-lit,0.12,0.43,1,0,0,0.49,1
Park,01:14,Well-lit,0.28,0.54,1,0,1,0.29,0
Market Area,22:07,Moderately-lit,0.11,0.37,0,0,0,0.78,0
Residential Area,20:00,No lighting,0.36,0.34,1,0,0,0.45,0
University Campus,21:40,Moderately-lit,0.24,0.23,1,0,1,0.43,1
Industrial Zone,18:24,No lighting,0.65,0.55,1,0,0,0.18,0
Public Transport Hub,03:01,No lighting,0.12,0.42,1,1,1,0.74,1
Suburban Street,20:08,Well-lit,0.38,0.33,1,0,1,0.5,1
Market Area,04:47,Moderately-lit,0.29,0.33,1,0,0,0.73,0
Residential Area,01:05,Moderately-lit,0.14,0.1,1,0,1,0.49,1
Main Road,03:10,Poorly-lit,0.33,0.39,1,0,1,0.23,0
Suburban Street,21:25,Well-lit,0.28,0.41,1,0,0,0.48,1
Market Area,04:00,Moderately-lit,0.19,0.52,0,1,0,0.76,1
University Campus,21:08,No lighting,0.5,0.42,0,0,0,0.51,0
Alleyway,05:05,Well-lit,0.01,0.83,0,0,1,0.28,0
Market Area,04:57,Poorly-lit,0.22,0.37,1,0,0,0.88,0
University Campus,04:11,No lighting,0.06,0.18,1,1,1,0.53,1
University Campus,19:09,Well-lit,0.66,0.23,1,1,0,0.43,1
Market Area,02:21,No lighting,0.26,0.51,1,1,0,0.74,0
Market Area,19:23,Well-lit,0.47,0.51,1,0,0,0.84,1
Public Transport Hub,01:06,Well-lit,0.53,0.37,0,1,0,0.8,1
University Campus,22:33,No lighting,0.53,0.26,1,0,0,0.48,0
Suburban Street,22:01,Poorly-lit,0.21,0.39,0,1,1,0.54,0
Commercial District,19:17,No lighting,0.41,0.41,1,1,1,0.89,1
Public Transport Hub,23:57,Moderately-lit,0.29,0.37,0,1,1,0.84,1
Industrial Zone,01:18,Moderately-lit,0.12,0.59,0,0,0,0.27,0
Suburban Street,02:07,Poorly-lit,0.14,0.24,0,1,0,0.56,0
Main Road,02:27,Well-lit,0.54,0.44,0,1,1,0.1,1
Public Transport Hub,02:15,Moderately-lit,0.22,0.47,1,0,1,0.82,1
Suburban Street,19:17,No lighting,0.12,0.27,1,1,0,0.53,0
Main Road,19:08,Moderately-lit,0.34,0.32,1,0,1,0.15,1
Residential Area,02:15,Moderately-lit,0.65,0.19,1,0,1,0.48,1
Public Transport Hub,00:06,Moderately-lit,0.11,0.59,0,1,0,0.76,0
University Campus,02:42,Well-lit,0.19,0.35,1,0,0,0.52,1
University Campus,00:21,Well-lit,0.43,0.39,1,0,0,0.51,1
Market Area,22:48,Moderately-lit,0.67,0.4,1,0,0,0.73,0
Suburban Street,21:30,No lighting,0.94,0.42,0,0,0,0.52,0
Alleyway,02:17,Moderately-lit,0.2,0.86,0,0,1,0.18,0
Residential Area,20:36,Poorly-lit,0.36,0.16,1,0,0,0.51,1
Suburban Street,01:40,No lighting,0.18,0.18,1,0,0,0.4,0
Public Transport Hub,04:30,Well-lit,0.16,0.55,1,1,1,0.85,1
Alleyway,22:41,Well-lit,0.45,0.75,0,0,0,0.17,0
University Campus,03:34,No lighting,0.05,0.37,1,1,1,0.53,1
Public Transport Hub,04:02,Poorly-lit,0.03,0.39,1,1,1,0.83,1
University Campus,18:46,No lighting,0.06,0.41,0,0,1,0.47,0
